#Table: J/PASP/110/863/k2v.dat.gz (cdsarc.u-strasbg.fr)
-------------------------------------------------------------------
 lambda|    nflam|  sdnflam|       fi|       fg|       fp|      fd1
 1515.0| 0.000487| 0.000000| 0.000487| 0.000000| 0.000000| 0.000000
 1520.0| 0.000558| 0.000000| 0.000558| 0.000000| 0.000000| 0.000000
 1525.0| 0.000706| 0.000000| 0.000706| 0.000000| 0.000000| 0.000000
 1530.0| 0.000705| 0.000000| 0.000705| 0.000000| 0.000000| 0.000000
 1535.0| 0.000717| 0.000000| 0.000717| 0.000000| 0.000000| 0.000000
 1540.0| 0.000682| 0.000000| 0.000682| 0.000000| 0.000000| 0.000000
 1545.0| 0.002203| 0.000000| 0.002203| 0.000000| 0.000000| 0.000000
 1550.0| 0.002842| 0.000000| 0.002842| 0.000000| 0.000000| 0.000000
 1555.0| 0.001154| 0.000000| 0.001154| 0.000000| 0.000000| 0.000000
 1560.0| 0.001102| 0.000000| 0.001102| 0.000000| 0.000000| 0.000000
 1565.0| 0.000684| 0.000000| 0.000684| 0.000000| 0.000000| 0.000000
 1570.0| 0.000537| 0.000000| 0.000537| 0.000000| 0.000000| 0.000000
 1575.0| 0.000774| 0.000000| 0.000774| 0.000000| 0.000000| 0.000000
 1580.0| 0.000556| 0.000000| 0.000556| 0.000000| 0.000000| 0.000000
 1585.0| 0.000636| 0.000000| 0.000636| 0.000000| 0.000000| 0.000000
 1590.0| 0.000673| 0.000000| 0.000673| 0.000000| 0.000000| 0.000000
 1595.0| 0.000695| 0.000000| 0.000695| 0.000000| 0.000000| 0.000000
 1600.0| 0.000655| 0.000000| 0.000655| 0.000000| 0.000000| 0.000000
 1605.0| 0.000855| 0.000000| 0.000855| 0.000000| 0.000000| 0.000000
 1610.0| 0.000535| 0.000000| 0.000535| 0.000000| 0.000000| 0.000000
 1615.0| 0.000499| 0.000000| 0.000499| 0.000000| 0.000000| 0.000000
 1620.0| 0.000385| 0.000000| 0.000385| 0.000000| 0.000000| 0.000000
 1625.0| 0.000509| 0.000000| 0.000509| 0.000000| 0.000000| 0.000000
 1630.0| 0.000668| 0.000000| 0.000668| 0.000000| 0.000000| 0.000000
 1635.0| 0.001177| 0.000000| 0.001177| 0.000000| 0.000000| 0.000000
 1640.0| 0.001979| 0.000000| 0.001979| 0.000000| 0.000000| 0.000000
 1645.0| 0.000945| 0.000000| 0.000945| 0.000000| 0.000000| 0.000000
 1650.0| 0.000502| 0.000000| 0.000502| 0.000000| 0.000000| 0.000000
 1655.0| 0.001598| 0.000000| 0.001598| 0.000000| 0.000000| 0.000000
 1660.0| 0.001703| 0.000000| 0.001703| 0.000000| 0.000000| 0.000000
 1665.0| 0.001084| 0.000000| 0.001084| 0.000000| 0.000000| 0.000000
 1670.0| 0.000984| 0.000000| 0.000984| 0.000000| 0.000000| 0.000000
 1675.0| 0.000595| 0.000000| 0.000595| 0.000000| 0.000000| 0.000000
 1680.0| 0.000326| 0.000000| 0.000326| 0.000000| 0.000000| 0.000000
 1685.0| 0.000309| 0.000000| 0.000309| 0.000000| 0.000000| 0.000000
 1690.0| 0.000408| 0.000000| 0.000408| 0.000000| 0.000000| 0.000000
 1695.0| 0.000671| 0.000000| 0.000671| 0.000000| 0.000000| 0.000000
 1700.0| 0.000629| 0.000000| 0.000629| 0.000000| 0.000000| 0.000000
 1705.0| 0.000541| 0.000000| 0.000541| 0.000000| 0.000000| 0.000000
 1710.0| 0.000765| 0.000000| 0.000765| 0.000000| 0.000000| 0.000000
 1715.0| 0.000871| 0.000000| 0.000871| 0.000000| 0.000000| 0.000000
 1720.0| 0.000726| 0.000000| 0.000726| 0.000000| 0.000000| 0.000000
